site_id,helix_id,base_index,x_nm,y_nm
429,18,14,9.980,20.000
430,18,15,13.550,20.000
431,18,16,17.120,20.000
432,18,17,20.690,20.000
433,18,18,24.260,20.000
434,18,19,27.830,20.000
435,18,20,31.400,20.000
436,18,21,34.970,20.000
437,18,22,38.540,20.000
438,19,0,-40.000,22.500
439,19,1,-36.430,22.500
440,19,2,-32.860,22.500
441,19,3,-29.290,22.500
442,19,4,-25.720,22.500
443,19,5,-22.150,22.500
444,19,6,-18.580,22.500
445,19,7,-15.010,22.500
446,19,8,-11.440,22.500
447,19,9,-7.870,22.500
448,19,10,-4.300,22.500
449,19,11,-0.730,22.500
450,19,12,2.840,22.500
451,19,13,6.410,22.500
452,19,14,9.980,22.500
453,19,15,13.550,22.500
454,19,16,17.120,22.500
455,19,17,20.690,22.500
456,19,18,24.260,22.500
457,19,19,27.830,22.500
458,19,20,31.400,22.500
459,19,21,34.970,22.500
460,19,22,38.540,22.500
461,20,0,-40.000,25.000
462,20,1,-36.430,25.000
463,20,2,-32.860,25.000
464,20,3,-29.290,25.000
465,20,4,-25.720,25.000
466,20,5,-22.150,25.000
467,20,6,-18.580,25.000
468,20,7,-15.010,25.000
469,20,8,-11.440,25.000
470,20,9,-7.870,25.000
471,20,10,-4.300,25.000
472,20,11,-0.730,25.000
473,20,12,2.840,25.000
474,20,13,6.410,25.000
475,20,14,9.980,25.000
476,20,15,13.550,25.000
477,20,16,17.120,25.000
478,20,17,20.690,25.000
479,20,18,24.260,25.000
480,20,19,27.830,25.000
481,20,20,31.400,25.000
482,20,21,34.970,25.000
483,20,22,38.540,25.000
