layout,formulation,contact_boost,background_reduction,p10_useful_capture,burden
hybrid_24,mixed_spacer_antifouling,0.6250,0.7400,0.9012,1.3650
hybrid_24,mixed_spacer_antifouling,0.4250,0.9400,0.9009,1.3650
hybrid_24,rigid_spacer_PEG,0.7750,0.5900,0.9001,1.3650
rescue_24,mixed_spacer_antifouling,0.5250,0.8400,0.9005,1.3650
sunflower_20,mixed_spacer_antifouling,0.6250,0.7400,0.9004,1.3650
triple_ring_24,mixed_spacer_antifouling,0.9250,0.4400,0.9012,1.3650
triple_ring_24,rigid_spacer_PEG,0.5750,0.7900,0.9011,1.3650
hybrid_24,mixed_spacer_antifouling,0.6500,0.7200,0.9010,1.3700
sunflower_20,mixed_spacer_antifouling,0.6000,0.7700,0.9003,1.3700
sunflower_20,mixed_spacer_antifouling,0.9500,0.4200,0.9001,1.3700
triple_ring_24,rigid_spacer_PEG,0.6000,0.7700,0.9003,1.3700
hybrid_24,mixed_spacer_antifouling,0.6750,0.7000,0.9006,1.3750
rescue_24,mixed_spacer_antifouling,0.7750,0.6000,0.9010,1.3750
sunflower_20,mixed_spacer_antifouling,0.5750,0.8000,0.9001,1.3750
broad_grid_24,mixed_spacer_antifouling,0.8000,0.5800,0.9013,1.3800
hybrid_24,mixed_spacer_antifouling,0.7000,0.6800,0.9001,1.3800
rescue_24,mixed_spacer_antifouling,0.5000,0.8800,0.9007,1.3800
triple_ring_24,mixed_spacer_antifouling,0.9500,0.4300,0.9002,1.3800
triple_ring_24,rigid_spacer_PEG,0.6250,0.7600,0.9009,1.3850
broad_grid_20,rigid_spacer_PEG,0.8500,0.5400,0.9004,1.3900
broad_grid_24,rigid_spacer_PEG,0.8000,0.5900,0.9015,1.3900
hybrid_24,rigid_spacer_PEG,0.8000,0.5900,0.9007,1.3900
rescue_24,mixed_spacer_antifouling,0.8000,0.5900,0.9008,1.3900
sunflower_20,mixed_spacer_antifouling,0.5500,0.8400,0.9006,1.3900
broad_grid_24,mixed_spacer_antifouling,0.8250,0.5700,0.9002,1.3950
hybrid_24,mixed_spacer_antifouling,0.7250,0.6700,0.9008,1.3950
rescue_24,mixed_spacer_antifouling,0.4750,0.9200,0.9007,1.3950
sunflower_20,mixed_spacer_antifouling,0.9750,0.4200,0.9009,1.3950
hybrid_24,mixed_spacer_antifouling,0.7500,0.6500,0.9001,1.4000
rescue_24,mixed_spacer_antifouling,0.4500,0.9500,0.9002,1.4000
sunflower_24,mixed_spacer_antifouling,0.5000,0.9000,0.9005,1.4000
sunflower_24,mixed_spacer_antifouling,0.5500,0.8500,0.9002,1.4000
sunflower_24,mixed_spacer_antifouling,0.4500,0.9500,0.9002,1.4000
triple_ring_24,rigid_spacer_PEG,0.6500,0.7500,0.9014,1.4000
broad_grid_24,rigid_spacer_PEG,0.8250,0.5800,0.9002,1.4050
rescue_24,mixed_spacer_antifouling,0.8250,0.5800,0.9004,1.4050
sunflower_20,mixed_spacer_antifouling,0.5250,0.8800,0.9004,1.4050
sunflower_24,mixed_spacer_antifouling,0.4250,0.9800,0.9004,1.4050
sunflower_24,mixed_spacer_antifouling,0.4750,0.9300,0.9011,1.4050
sunflower_24,mixed_spacer_antifouling,0.5250,0.8800,0.9011,1.4050
sunflower_24,mixed_spacer_antifouling,0.5750,0.8300,0.9005,1.4050
triple_ring_24,mixed_spacer_antifouling,0.9750,0.4300,0.9005,1.4050
triple_ring_24,rigid_spacer_PEG,0.6750,0.7300,0.9003,1.4050
sunflower_20,mixed_spacer_antifouling,1.0000,0.4100,0.9006,1.4100
sunflower_24,mixed_spacer_antifouling,0.6000,0.8100,0.9006,1.4100
broad_grid_20,rigid_spacer_PEG,0.8750,0.5400,0.9008,1.4150
hybrid_24,mixed_spacer_antifouling,0.7750,0.6400,0.9006,1.4150
hybrid_24,rigid_spacer_PEG,0.8250,0.5900,0.9013,1.4150
rescue_24,mixed_spacer_antifouling,0.4250,0.9900,0.9011,1.4150
sunflower_24,mixed_spacer_antifouling,0.6250,0.7900,0.9006,1.4150
broad_grid_24,mixed_spacer_antifouling,0.8500,0.5700,0.9006,1.4200
rescue_24,mixed_spacer_antifouling,0.8500,0.5700,0.9000,1.4200
sunflower_20,mixed_spacer_antifouling,0.5000,0.9200,0.9000,1.4200
sunflower_24,mixed_spacer_antifouling,0.6500,0.7700,0.9005,1.4200
triple_ring_24,rigid_spacer_PEG,0.7000,0.7200,0.9006,1.4200
four_patch_24,mixed_spacer_antifouling,0.6250,0.8000,0.9002,1.4250
sunflower_20,mixed_spacer_antifouling,1.0250,0.4000,0.9003,1.4250
sunflower_24,mixed_spacer_antifouling,0.6750,0.7500,0.9003,1.4250
broad_grid_24,rigid_spacer_PEG,0.8500,0.5800,0.9007,1.4300
four_patch_24,mixed_spacer_antifouling,0.6000,0.8300,0.9004,1.4300
four_patch_24,mixed_spacer_antifouling,0.6500,0.7800,0.9008,1.4300
hybrid_24,mixed_spacer_antifouling,0.8000,0.6300,0.9011,1.4300
triple_ring_24,mixed_spacer_antifouling,1.0000,0.4300,0.9008,1.4300
four_patch_24,mixed_spacer_antifouling,0.5750,0.8600,0.9006,1.4350
four_patch_24,mixed_spacer_antifouling,0.6750,0.7600,0.9009,1.4350
hybrid_24,mixed_spacer_antifouling,0.8250,0.6100,0.9001,1.4350
triple_ring_24,rigid_spacer_PEG,0.7250,0.7100,0.9009,1.4350
broad_grid_20,rigid_spacer_PEG,0.9000,0.5400,0.9012,1.4400
four_patch_24,mixed_spacer_antifouling,0.5500,0.8900,0.9005,1.4400
four_patch_24,mixed_spacer_antifouling,0.7000,0.7400,0.9007,1.4400
hybrid_24,rigid_spacer_PEG,0.8500,0.5900,0.9019,1.4400
rescue_24,polyT30_standard,0.4500,0.9900,0.9002,1.4400
rescue_24,rigid_spacer_PEG,0.4500,0.9900,0.9006,1.4400
sunflower_24,mixed_spacer_antifouling,0.7000,0.7400,0.9012,1.4400
broad_grid_24,mixed_spacer_antifouling,0.8750,0.5700,0.9011,1.4450
four_patch_24,mixed_spacer_antifouling,0.7250,0.7200,0.9005,1.4450
rescue_24,mixed_spacer_antifouling,0.8750,0.5700,0.9010,1.4450
sunflower_20,mixed_spacer_antifouling,0.4750,0.9700,0.9004,1.4450
sunflower_24,mixed_spacer_antifouling,0.7250,0.7200,0.9008,1.4450
four_patch_24,mixed_spacer_antifouling,0.7500,0.7000,0.9001,1.4500
hybrid_24,mixed_spacer_antifouling,0.8500,0.6000,0.9004,1.4500
sunflower_20,mixed_spacer_antifouling,1.0500,0.4000,0.9010,1.4500
sunflower_24,mixed_spacer_antifouling,0.7500,0.7000,0.9002,1.4500
triple_ring_24,rigid_spacer_PEG,0.7500,0.7000,0.9007,1.4500
broad_grid_24,rigid_spacer_PEG,0.8750,0.5800,0.9012,1.4550
four_patch_24,mixed_spacer_antifouling,0.5250,0.9300,0.9007,1.4550
hybrid_24,rigid_spacer_PEG,0.8750,0.5800,0.9004,1.4550
rescue_24,polyT30_standard,0.4750,0.9800,0.9007,1.4550
rescue_24,rigid_spacer_PEG,0.4750,0.9800,0.9019,1.4550
triple_ring_24,mixed_spacer_antifouling,1.0250,0.4300,0.9010,1.4550
broad_grid_24,mixed_spacer_antifouling,0.9000,0.5600,0.9006,1.4600
rescue_24,mixed_spacer_antifouling,0.9000,0.5600,0.9006,1.4600
rescue_24,rigid_spacer_PEG,0.5000,0.9600,0.9009,1.4600
broad_grid_20,mixed_spacer_antifouling,0.6250,0.8400,0.9003,1.4650
broad_grid_20,mixed_spacer_antifouling,0.5750,0.8900,0.9002,1.4650
broad_grid_20,rigid_spacer_PEG,0.9250,0.5400,0.9016,1.4650
four_patch_24,mixed_spacer_antifouling,0.7750,0.6900,0.9009,1.4650
hybrid_24,mixed_spacer_antifouling,0.8750,0.5900,0.9006,1.4650
sunflower_20,mixed_spacer_antifouling,1.0750,0.3900,0.9006,1.4650
sunflower_24,mixed_spacer_antifouling,0.7750,0.6900,0.9009,1.4650
broad_grid_20,mixed_spacer_antifouling,0.5500,0.9200,0.9006,1.4700
broad_grid_20,mixed_spacer_antifouling,0.6000,0.8700,0.9009,1.4700
broad_grid_20,mixed_spacer_antifouling,0.6500,0.8200,0.9007,1.4700
four_patch_24,mixed_spacer_antifouling,0.5000,0.9700,0.9006,1.4700
four_patch_24,mixed_spacer_antifouling,0.8000,0.6700,0.9004,1.4700
rescue_24,polyT30_standard,0.5000,0.9700,0.9009,1.4700
sunflower_24,mixed_spacer_antifouling,0.8000,0.6700,0.9006,1.4700
broad_grid_20,mixed_spacer_antifouling,0.5250,0.9500,0.9007,1.4750
broad_grid_20,mixed_spacer_antifouling,0.6750,0.8000,0.9009,1.4750
broad_grid_20,mixed_spacer_antifouling,0.7250,0.7500,0.9000,1.4750
broad_grid_24,mixed_spacer_antifouling,0.9250,0.5500,0.9000,1.4750
rescue_24,mixed_spacer_antifouling,0.9250,0.5500,0.9000,1.4750
rescue_24,rigid_spacer_PEG,0.5250,0.9500,0.9018,1.4750
triple_ring_24,rigid_spacer_PEG,0.7750,0.7000,0.9017,1.4750
broad_grid_20,mixed_spacer_antifouling,0.5000,0.9800,0.9008,1.4800
broad_grid_20,mixed_spacer_antifouling,0.7000,0.7800,0.9011,1.4800
broad_grid_20,rigid_spacer_PEG,0.9500,0.5300,0.9002,1.4800
broad_grid_24,rigid_spacer_PEG,0.9000,0.5800,0.9017,1.4800
hybrid_24,mixed_spacer_antifouling,0.9000,0.5800,0.9007,1.4800
hybrid_24,rigid_spacer_PEG,0.9000,0.5800,0.9009,1.4800
rescue_24,rigid_spacer_PEG,0.5500,0.9300,0.9005,1.4800
sunflower_20,mixed_spacer_antifouling,1.1000,0.3800,0.9002,1.4800
triple_ring_24,mixed_spacer_antifouling,1.0500,0.4300,0.9013,1.4800
four_patch_24,mixed_spacer_antifouling,0.8250,0.6600,0.9010,1.4850
rescue_24,polyT30_standard,0.5250,0.9600,0.9011,1.4850
sunflower_24,mixed_spacer_antifouling,0.8250,0.6600,0.9010,1.4850
sunflower_24,rigid_spacer_PEG,0.5250,0.9600,0.9007,1.4850
broad_grid_20,mixed_spacer_antifouling,0.7500,0.7400,0.9011,1.4900
four_patch_24,mixed_spacer_antifouling,0.8500,0.6400,0.9002,1.4900
sunflower_24,mixed_spacer_antifouling,0.8500,0.6400,0.9001,1.4900
sunflower_24,rigid_spacer_PEG,0.5000,0.9900,0.9008,1.4900
sunflower_24,rigid_spacer_PEG,0.5500,0.9400,0.9011,1.4900
triple_ring_24,rigid_spacer_PEG,0.8000,0.6900,0.9003,1.4900
broad_grid_20,mixed_spacer_antifouling,0.7750,0.7200,0.9009,1.4950
broad_grid_24,rigid_spacer_PEG,0.9250,0.5700,0.9003,1.4950
hybrid_24,mixed_spacer_antifouling,0.9250,0.5700,0.9008,1.4950
rescue_24,rigid_spacer_PEG,0.5750,0.9200,0.9011,1.4950
sunflower_24,rigid_spacer_PEG,0.5750,0.9200,0.9003,1.4950
triple_ring_24,mixed_spacer_antifouling,1.0750,0.4200,0.9002,1.4950
broad_grid_20,mixed_spacer_antifouling,0.8000,0.7000,0.9003,1.5000
broad_grid_24,mixed_spacer_antifouling,0.9500,0.5500,0.9009,1.5000
rescue_24,mixed_spacer_antifouling,0.9500,0.5500,0.9005,1.5000
rescue_24,polyT30_standard,0.5500,0.9500,0.9010,1.5000
broad_grid_20,rigid_spacer_PEG,0.9750,0.5300,0.9005,1.5050
four_patch_24,mixed_spacer_antifouling,0.8750,0.6300,0.9007,1.5050
hybrid_24,rigid_spacer_PEG,0.9250,0.5800,0.9014,1.5050
sunflower_20,mixed_spacer_antifouling,1.1250,0.3800,0.9008,1.5050
sunflower_24,mixed_spacer_antifouling,0.8750,0.6300,0.9004,1.5050
hybrid_24,mixed_spacer_antifouling,0.9500,0.5600,0.9008,1.5100
rescue_24,rigid_spacer_PEG,0.6000,0.9100,0.9016,1.5100
sunflower_24,rigid_spacer_PEG,0.6000,0.9100,0.9012,1.5100
broad_grid_20,mixed_spacer_antifouling,0.8250,0.6900,0.9007,1.5150
broad_grid_24,mixed_spacer_antifouling,0.9750,0.5400,0.9003,1.5150
rescue_24,polyT30_standard,0.5750,0.9400,0.9007,1.5150
sunflower_24,rigid_spacer_PEG,0.6250,0.8900,0.9001,1.5150
triple_ring_24,rigid_spacer_PEG,0.8250,0.6900,0.9011,1.5150
broad_grid_24,rigid_spacer_PEG,0.9500,0.5700,0.9007,1.5200
four_patch_24,mixed_spacer_antifouling,0.9000,0.6200,0.9011,1.5200
sunflower_20,mixed_spacer_antifouling,1.1500,0.3700,0.9003,1.5200
sunflower_24,mixed_spacer_antifouling,0.9000,0.6200,0.9007,1.5200
triple_ring_24,mixed_spacer_antifouling,1.1000,0.4200,0.9004,1.5200
four_patch_24,mixed_spacer_antifouling,0.9250,0.6000,0.9001,1.5250
hybrid_24,mixed_spacer_antifouling,0.9750,0.5500,0.9007,1.5250
rescue_24,mixed_spacer_antifouling,0.9750,0.5500,0.9008,1.5250
